--- MODELS ---
MODEL: models/gemini-2.5-flash | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-pro | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash-001 | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash-lite-001 | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash-lite | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-flash-preview-tts | METHODS: ['countTokens', 'generateContent']
MODEL: models/gemini-2.5-pro-preview-tts | METHODS: ['countTokens', 'generateContent', 'batchGenerateContent']
MODEL: models/gemma-3-1b-it | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemma-3-4b-it | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemma-3-12b-it | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemma-3-27b-it | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemma-3n-e4b-it | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemma-3n-e2b-it | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemini-flash-latest | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-flash-lite-latest | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-pro-latest | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-flash-lite | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-flash-image | METHODS: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/gemini-2.5-flash-lite-preview-09-2025 | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3-pro-preview | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3-flash-preview | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3.1-pro-preview | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3.1-pro-preview-customtools | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3.1-flash-lite-preview | METHODS: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3-pro-image-preview | METHODS: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/nano-banana-pro-preview | METHODS: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/gemini-3.1-flash-image-preview | METHODS: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/lyria-3-clip-preview | METHODS: ['generateContent', 'countTokens']
MODEL: models/lyria-3-pro-preview | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemini-robotics-er-1.5-preview | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemini-2.5-computer-use-preview-10-2025 | METHODS: ['generateContent', 'countTokens']
MODEL: models/deep-research-pro-preview-12-2025 | METHODS: ['generateContent', 'countTokens']
MODEL: models/gemini-embedding-001 | METHODS: ['embedContent', 'countTextTokens', 'countTokens', 'asyncBatchEmbedContent']
MODEL: models/gemini-embedding-2-preview | METHODS: ['embedContent', 'countTextTokens', 'countTokens', 'asyncBatchEmbedContent']
MODEL: models/aqa | METHODS: ['generateAnswer']
MODEL: models/imagen-4.0-generate-001 | METHODS: ['predict']
MODEL: models/imagen-4.0-ultra-generate-001 | METHODS: ['predict']
MODEL: models/imagen-4.0-fast-generate-001 | METHODS: ['predict']
MODEL: models/veo-2.0-generate-001 | METHODS: ['predictLongRunning']
MODEL: models/veo-3.0-generate-001 | METHODS: ['predictLongRunning']
MODEL: models/veo-3.0-fast-generate-001 | METHODS: ['predictLongRunning']
MODEL: models/veo-3.1-generate-preview | METHODS: ['predictLongRunning']
MODEL: models/veo-3.1-fast-generate-preview | METHODS: ['predictLongRunning']
MODEL: models/gemini-2.5-flash-native-audio-latest | METHODS: ['countTokens', 'bidiGenerateContent']
MODEL: models/gemini-2.5-flash-native-audio-preview-09-2025 | METHODS: ['countTokens', 'bidiGenerateContent']
MODEL: models/gemini-2.5-flash-native-audio-preview-12-2025 | METHODS: ['countTokens', 'bidiGenerateContent']
MODEL: models/gemini-3.1-flash-live-preview | METHODS: ['bidiGenerateContent']
